ticket_id,created_date,category,priority,status,resolution_hours,agent,satisfaction_1to5
T5058,2023-12-20,Software,Medium,Resolved,26.8,Agent B,4.0
T5059,2024-04-25,Security,Critical,Resolved,2.4,Agent E,4.0
T5060,2023-12-05,Software,High,Escalated,4.8,Agent E,
T5061,2023-07-27,Software,Medium,Open,29.6,Agent B,
T5062,2023-08-08,Security,High,Resolved,11.2,Agent D,2.0
T5063,2024-03-24,Email,High,Resolved,10.9,Agent D,1.0
T5064,2023-10-04,Email,Medium,Resolved,35.0,Agent A,1.0
T5065,2024-03-02,Security,Low,Resolved,60.9,Agent C,3.0
T5066,2024-05-18,Security,Critical,Resolved,1.2,Agent E,4.0
T5067,2024-05-25,Software,High,Resolved,8.8,Agent A,1.0
T5068,2024-04-18,Security,Medium,Resolved,17.8,Agent B,3.0
T5069,2023-11-03,Network,Medium,Resolved,21.2,Agent A,5.0
T5070,2023-07-15,Hardware,High,Resolved,7.0,Agent C,5.0
T5071,2024-02-12,Software,Low,Resolved,42.6,Agent A,3.0
T5072,2023-10-25,Software,High,Resolved,9.1,Agent D,4.0
T5073,2023-07-18,Network,High,Resolved,9.9,Agent D,2.0
T5074,2024-03-20,Security,Medium,Open,29.7,Agent B,
T5075,2024-03-24,Hardware,High,Resolved,8.9,Agent C,4.0
T5076,2023-11-10,Access,Low,Resolved,10.4,Agent D,2.0
T5077,2023-12-11,Software,Critical,Resolved,1.9,Agent A,1.0
T5078,2024-04-09,Software,High,Resolved,6.3,Agent E,2.0
T5079,2024-06-19,Security,Medium,Resolved,17.9,Agent A,1.0
T5080,2024-01-23,Access,Low,Resolved,25.9,Agent D,5.0
T5081,2024-03-03,Software,High,Resolved,7.6,Agent A,5.0
T5082,2024-01-03,Email,High,Resolved,7.3,Agent B,5.0
T5083,2023-07-26,Email,Medium,Resolved,21.6,Agent E,1.0
T5084,2023-12-28,Network,Critical,Resolved,1.8,Agent E,2.0
T5085,2024-03-20,Network,Low,Resolved,42.4,Agent C,1.0
T5086,2024-03-17,Hardware,Low,Escalated,65.5,Agent A,
T5087,2023-10-16,Hardware,High,Resolved,9.8,Agent C,4.0
T5088,2024-03-20,Security,Low,Resolved,53.2,Agent D,4.0
T5089,2024-05-15,Security,Medium,Resolved,39.6,Agent A,4.0
T5090,2023-08-06,Network,Critical,Resolved,2.6,Agent C,2.0
T5091,2024-03-13,Security,Critical,Resolved,1.8,Agent B,4.0
T5092,2023-09-21,Access,Medium,Resolved,24.7,Agent B,5.0
T5093,2023-07-19,Hardware,High,Resolved,6.2,Agent B,2.0
T5094,2024-05-20,Security,Medium,Resolved,19.6,Agent B,2.0
T5095,2023-07-06,Hardware,Medium,Resolved,26.6,Agent D,5.0
T5096,2024-03-11,Hardware,Medium,Resolved,21.8,Agent B,1.0
T5097,2023-08-03,Software,Critical,Resolved,1.9,Agent B,3.0
T5098,2023-11-20,Security,Medium,Resolved,18.0,Agent D,5.0
T5099,2023-12-13,Software,High,Resolved,9.0,Agent B,5.0
T5100,2023-08-28,Security,Medium,Resolved,25.0,Agent B,5.0
T5101,2024-01-02,Network,Low,Resolved,69.3,Agent B,5.0
T5102,2023-10-26,Security,Medium,Resolved,7.2,Agent D,1.0
T5103,2024-04-24,Access,Medium,Resolved,24.4,Agent C,4.0
T5104,2023-07-11,Hardware,High,Resolved,6.1,Agent A,5.0
T5105,2024-05-20,Hardware,High,Resolved,4.8,Agent A,4.0
T5106,2024-06-09,Security,High,Resolved,5.5,Agent A,3.0
T5107,2024-06-17,Software,High,Resolved,9.8,Agent E,4.0
T5108,2023-08-25,Network,High,Resolved,5.3,Agent A,1.0
T5109,2024-06-12,Hardware,Low,Resolved,84.2,Agent D,4.0
T5110,2024-01-04,Hardware,High,Escalated,7.1,Agent E,
T5111,2024-04-24,Network,Low,Resolved,43.6,Agent D,1.0
T5112,2023-11-17,Access,Medium,Resolved,42.3,Agent C,3.0
T5113,2024-04-10,Hardware,High,Open,14.7,Agent C,
T5114,2023-08-06,Security,High,Resolved,6.3,Agent A,1.0
T5115,2023-09-05,Software,Low,Resolved,24.4,Agent D,4.0
T5116,2023-10-09,Software,High,Resolved,0.5,Agent E,1.0
T5117,2024-01-10,Security,Medium,Resolved,25.3,Agent C,3.0
T5118,2023-10-20,Security,High,Resolved,12.5,Agent C,3.0
T5119,2024-03-01,Network,Medium,Resolved,14.0,Agent E,4.0
T5120,2023-11-09,Network,High,Resolved,6.8,Agent A,5.0
T5121,2023-08-25,Hardware,Critical,Open,2.5,Agent B,
T5122,2023-08-05,Access,Critical,Resolved,1.8,Agent B,3.0
T5123,2024-03-28,Network,Low,Resolved,55.8,Agent B,5.0
T5124,2023-10-06,Software,Medium,Resolved,25.9,Agent D,1.0
T5125,2023-08-19,Hardware,Low,Open,85.5,Agent D,
T5126,2024-03-18,Software,Medium,Resolved,35.9,Agent A,5.0
T5127,2023-12-26,Hardware,Critical,Resolved,2.6,Agent A,4.0
T5128,2024-04-16,Security,Low,Resolved,22.2,Agent D,1.0
T5129,2023-09-08,Network,Low,Resolved,46.7,Agent B,4.0
T5130,2023-09-13,Security,Medium,Resolved,29.7,Agent A,3.0
T5131,2024-06-16,Access,High,Resolved,6.1,Agent D,3.0
T5132,2023-11-30,Hardware,High,Resolved,7.0,Agent D,2.0
T5133,2023-09-11,Email,Medium,Escalated,18.0,Agent E,
T5134,2024-05-09,Email,Low,Resolved,16.9,Agent A,4.0
T5135,2024-04-04,Security,High,Resolved,10.6,Agent C,2.0
T5136,2023-08-19,Email,Critical,Escalated,2.0,Agent D,
T5137,2024-04-23,Security,Medium,Resolved,33.7,Agent C,3.0
T5138,2024-01-24,Email,Low,Open,68.1,Agent B,
T5139,2024-01-09,Security,Critical,Resolved,1.0,Agent B,4.0
T5140,2023-10-28,Security,High,Resolved,12.3,Agent D,2.0
T5141,2023-10-08,Network,Medium,Resolved,35.8,Agent D,3.0
T5142,2024-02-13,Network,Low,Resolved,44.4,Agent B,5.0
T5143,2023-11-16,Email,Low,Resolved,25.1,Agent C,5.0
T5144,2023-12-28,Security,Low,Resolved,63.8,Agent C,1.0
T5145,2023-08-15,Security,Critical,Resolved,2.0,Agent D,1.0
T5146,2023-08-12,Software,Low,Resolved,45.6,Agent E,1.0
T5147,2023-07-13,Email,Low,Open,44.6,Agent A,
T5148,2024-01-16,Access,Medium,Open,36.3,Agent E,
T5149,2024-06-02,Email,Low,Resolved,43.4,Agent E,1.0
T5150,2023-07-25,Hardware,Critical,Open,1.3,Agent D,
T5151,2024-03-05,Email,Medium,Escalated,13.1,Agent B,
T5152,2023-11-08,Email,Critical,Resolved,1.9,Agent B,5.0
T5153,2024-04-27,Network,Low,Resolved,52.3,Agent A,2.0
T5154,2023-08-12,Network,Low,Resolved,69.3,Agent E,5.0
T5155,2024-05-09,Software,Critical,Resolved,2.5,Agent B,5.0
T5156,2023-12-27,Access,Low,Resolved,100.0,Agent B,4.0
T5157,2024-03-30,Email,Low,Open,74.3,Agent C,
T5158,2023-07-12,Software,High,Resolved,7.4,Agent C,2.0
T5159,2023-12-29,Security,Low,Open,67.9,Agent A,
T5160,2023-07-13,Software,High,Resolved,8.7,Agent E,3.0
T5161,2023-11-21,Network,Critical,Resolved,1.4,Agent E,5.0
T5162,2024-02-29,Network,Low,Resolved,65.0,Agent C,1.0
T5163,2023-12-29,Email,Low,Resolved,54.8,Agent B,3.0
T5164,2024-04-12,Network,High,Resolved,8.5,Agent D,1.0
T5165,2023-10-22,Hardware,Critical,Resolved,1.8,Agent A,3.0
T5166,2023-10-19,Access,Low,Resolved,44.5,Agent C,5.0
T5167,2024-02-02,Software,Medium,Resolved,40.9,Agent C,4.0
T5168,2023-08-31,Security,Critical,Open,2.9,Agent E,
T5169,2024-05-10,Network,High,Escalated,6.6,Agent A,
T5170,2023-07-05,Hardware,High,Escalated,8.6,Agent D,
T5171,2023-10-12,Email,Critical,Open,1.9,Agent A,
T5172,2023-07-05,Hardware,Medium,Resolved,4.9,Agent E,2.0
T5173,2023-08-08,Access,Critical,Escalated,1.0,Agent D,
T5174,2023-12-02,Access,Medium,Open,22.1,Agent E,
T5175,2023-09-07,Email,Low,Resolved,73.5,Agent E,4.0
T5176,2023-12-14,Software,High,Open,1.5,Agent E,
T5177,2024-02-20,Email,Low,Resolved,61.4,Agent C,5.0
T5178,2023-10-27,Security,Critical,Resolved,2.4,Agent D,4.0
T5179,2023-09-22,Access,High,Resolved,5.8,Agent C,3.0
T5180,2024-06-08,Email,Critical,Resolved,3.3,Agent A,1.0
T5181,2024-04-14,Software,Critical,Open,0.7,Agent E,
T5182,2023-09-14,Hardware,Medium,Resolved,24.2,Agent B,4.0
T5183,2024-01-24,Network,Critical,Resolved,0.9,Agent E,5.0
T5184,2023-11-20,Network,High,Resolved,11.4,Agent E,5.0
T5185,2023-08-14,Email,Medium,Escalated,21.4,Agent A,
T5186,2023-12-04,Email,Low,Open,55.1,Agent D,
T5187,2024-02-17,Security,Low,Resolved,40.1,Agent C,2.0
T5188,2023-09-06,Software,Medium,Resolved,27.3,Agent C,5.0
T5189,2023-08-04,Network,High,Resolved,11.5,Agent B,4.0
T5190,2023-10-05,Network,Critical,Resolved,2.1,Agent C,2.0
T5191,2023-08-04,Security,High,Open,7.2,Agent D,
T5192,2024-01-08,Email,High,Open,1.7,Agent B,
T5193,2024-02-28,Network,Medium,Resolved,27.2,Agent A,1.0
T5194,2023-09-21,Security,Critical,Resolved,0.5,Agent D,1.0
T5195,2023-09-20,Email,High,Open,7.7,Agent E,
T5196,2024-02-02,Hardware,Medium,Resolved,20.1,Agent C,3.0
T5197,2024-01-07,Network,High,Resolved,3.6,Agent B,2.0
T5198,2023-10-02,Email,Low,Resolved,45.2,Agent C,4.0
T5199,2024-06-21,Email,High,Escalated,5.7,Agent C,
T5200,2024-01-28,Security,Critical,Resolved,1.4,Agent A,5.0
T5201,2023-11-02,Access,High,Open,12.7,Agent C,
T5202,2023-08-05,Network,Low,Resolved,50.2,Agent C,5.0
T5203,2023-12-02,Software,Low,Resolved,25.2,Agent D,2.0
T5204,2024-02-13,Access,Medium,Open,26.1,Agent C,
T5205,2023-08-20,Email,Low,Resolved,25.1,Agent A,4.0
T5206,2023-10-29,Software,Low,Resolved,33.1,Agent E,4.0
T5207,2023-10-14,Network,Medium,Resolved,18.5,Agent C,2.0
T5208,2024-01-30,Email,Low,Resolved,73.9,Agent A,1.0
T5209,2024-03-27,Software,High,Resolved,6.3,Agent A,3.0
T5210,2023-08-27,Security,Critical,Resolved,1.9,Agent C,5.0
T5211,2024-06-29,Software,Low,Open,51.1,Agent A,
T5212,2024-06-12,Hardware,High,Resolved,7.1,Agent E,3.0
T5213,2023-10-28,Access,High,Escalated,8.3,Agent A,
T5214,2024-02-11,Hardware,High,Resolved,5.0,Agent C,1.0
T5215,2024-05-10,Hardware,Critical,Resolved,2.1,Agent C,1.0
T5216,2023-10-01,Software,Low,Resolved,84.9,Agent B,2.0
T5217,2023-11-04,Software,Low,Resolved,29.3,Agent C,2.0
T5218,2024-06-14,Access,High,Resolved,6.6,Agent E,2.0
T5219,2023-11-07,Email,Medium,Resolved,0.5,Agent E,4.0
T5220,2024-06-26,Email,High,Resolved,9.7,Agent E,4.0
T5221,2023-11-06,Network,Critical,Resolved,2.3,Agent C,5.0
T5222,2024-04-25,Security,Critical,Resolved,2.0,Agent C,5.0
T5223,2023-08-14,Email,High,Resolved,11.1,Agent A,2.0
T5224,2023-09-10,Email,Critical,Resolved,1.3,Agent C,4.0
T5225,2023-09-25,Software,Medium,Resolved,8.6,Agent A,2.0
T5226,2023-11-18,Hardware,Medium,Resolved,35.8,Agent E,5.0
T5227,2023-09-29,Email,Medium,Resolved,25.5,Agent B,4.0
T5228,2023-08-18,Network,High,Resolved,7.0,Agent B,1.0
T5229,2024-05-07,Security,Medium,Resolved,13.8,Agent C,4.0
T5230,2024-02-29,Security,Medium,Resolved,12.7,Agent D,1.0
T5231,2023-11-20,Software,High,Open,11.2,Agent D,
T5232,2024-04-20,Access,Medium,Resolved,15.1,Agent A,4.0
T5233,2024-05-02,Hardware,Low,Resolved,58.5,Agent D,5.0
T5234,2023-12-10,Security,High,Resolved,3.1,Agent E,2.0
T5235,2023-12-27,Access,Critical,Open,2.4,Agent D,
T5236,2023-12-01,Security,Medium,Resolved,43.6,Agent A,1.0
T5237,2023-11-22,Network,Critical,Resolved,2.7,Agent C,5.0
T5238,2024-02-15,Software,High,Resolved,3.4,Agent C,4.0
T5239,2024-04-07,Network,Critical,Resolved,2.4,Agent E,4.0
T5240,2023-09-02,Software,Critical,Open,3.1,Agent C,
T5241,2023-07-01,Software,High,Resolved,15.5,Agent C,2.0
T5242,2023-09-20,Hardware,Critical,Open,1.0,Agent B,
T5243,2024-05-15,Software,High,Resolved,7.9,Agent E,4.0
T5244,2024-02-24,Access,Medium,Resolved,18.0,Agent B,1.0
T5245,2023-08-07,Security,High,Resolved,3.9,Agent D,5.0
T5246,2023-10-03,Software,Critical,Open,1.9,Agent C,
T5247,2023-09-05,Security,Low,Resolved,46.0,Agent B,1.0
T5248,2024-06-02,Hardware,Medium,Open,5.3,Agent B,
T5249,2024-02-14,Email,High,Resolved,10.4,Agent B,5.0
T5250,2023-10-27,Access,Critical,Resolved,1.8,Agent C,1.0
T5251,2023-12-22,Security,Critical,Open,1.1,Agent A,
T5252,2023-07-11,Email,Medium,Resolved,19.7,Agent A,4.0
T5253,2023-08-20,Hardware,Medium,Resolved,11.3,Agent B,4.0
T5254,2024-05-22,Email,Critical,Resolved,2.6,Agent A,2.0
T5255,2024-02-03,Hardware,High,Resolved,6.6,Agent A,3.0
T5256,2023-08-20,Hardware,Critical,Escalated,3.0,Agent E,
T5257,2023-12-15,Access,Low,Resolved,33.5,Agent E,3.0
T5258,2024-03-14,Software,Low,Resolved,56.5,Agent D,3.0
T5259,2023-12-22,Hardware,High,Escalated,3.4,Agent B,
T5260,2023-07-23,Security,Low,Resolved,35.3,Agent B,1.0
T5261,2023-09-17,Hardware,High,Resolved,5.5,Agent A,4.0
T5262,2024-06-17,Software,Low,Resolved,47.5,Agent E,1.0
T5263,2024-01-16,Network,High,Resolved,11.2,Agent A,5.0
T5264,2023-11-16,Security,Critical,Resolved,2.6,Agent E,3.0
T5265,2024-04-19,Network,Critical,Escalated,1.8,Agent C,
T5266,2023-11-29,Access,Critical,Resolved,2.6,Agent D,3.0
T5267,2023-08-17,Access,Medium,Resolved,13.0,Agent D,4.0
T5268,2023-12-01,Access,Medium,Open,13.6,Agent A,
T5269,2023-08-02,Software,High,Resolved,6.0,Agent D,5.0
T5270,2024-03-09,Software,Medium,Resolved,26.5,Agent A,5.0
T5271,2024-01-14,Email,Low,Open,46.5,Agent A,
T5272,2024-06-24,Access,High,Resolved,5.7,Agent D,3.0
T5273,2023-09-13,Email,High,Resolved,11.3,Agent E,5.0
T5274,2023-10-09,Hardware,Critical,Resolved,1.3,Agent D,3.0
T5275,2024-06-08,Email,High,Resolved,4.6,Agent D,1.0
T5276,2024-03-08,Software,Critical,Resolved,3.1,Agent A,4.0
T5277,2024-03-31,Access,High,Resolved,7.3,Agent C,4.0
T5278,2024-04-13,Hardware,Medium,Open,0.9,Agent C,
T5279,2023-11-15,Network,Critical,Open,1.2,Agent C,
T5280,2023-10-16,Email,Critical,Resolved,1.9,Agent B,1.0
T5281,2023-08-23,Hardware,High,Resolved,9.7,Agent E,5.0
T5282,2023-08-15,Software,High,Resolved,3.7,Agent B,3.0
T5283,2023-11-17,Software,Critical,Resolved,1.4,Agent A,4.0
T5284,2023-10-20,Network,Critical,Resolved,2.2,Agent D,3.0
T5285,2023-09-08,Hardware,Critical,Resolved,2.3,Agent C,3.0
T5286,2024-06-23,Access,Low,Resolved,44.6,Agent E,4.0
T5287,2024-04-22,Email,High,Resolved,9.9,Agent A,5.0
T5288,2024-06-29,Network,Critical,Resolved,2.0,Agent D,3.0
T5289,2024-01-24,Security,Low,Resolved,48.3,Agent D,5.0
T5290,2023-10-30,Security,Medium,Resolved,24.5,Agent B,3.0
T5291,2023-12-20,Hardware,Medium,Resolved,22.3,Agent E,5.0
T5292,2023-09-19,Security,Medium,Resolved,3.7,Agent E,3.0
T5293,2024-04-08,Network,Critical,Resolved,1.8,Agent E,1.0
T5294,2023-11-10,Software,Low,Resolved,51.2,Agent A,2.0
T5295,2024-06-28,Email,Medium,Resolved,37.8,Agent E,1.0
T5296,2024-06-03,Network,High,Resolved,7.4,Agent C,5.0
T5297,2024-03-12,Access,Low,Resolved,47.0,Agent D,3.0
T5298,2024-02-29,Hardware,Medium,Resolved,31.0,Agent C,5.0
T5299,2024-03-25,Email,High,Open,8.6,Agent D,
T5300,2024-03-12,Access,High,Resolved,10.5,Agent C,2.0
T5301,2023-09-10,Access,Critical,Resolved,1.1,Agent C,3.0
T5302,2024-04-07,Network,Medium,Resolved,40.6,Agent E,3.0
T5303,2024-05-21,Software,Medium,Escalated,14.8,Agent E,
T5304,2023-10-06,Network,Low,Resolved,37.2,Agent C,5.0
T5305,2024-06-17,Hardware,Low,Resolved,16.3,Agent D,4.0
T5306,2024-03-25,Access,Critical,Resolved,2.2,Agent A,2.0
T5307,2024-01-31,Hardware,Critical,Open,1.8,Agent D,
T5308,2023-07-04,Access,Critical,Resolved,1.7,Agent A,5.0
T5309,2023-07-01,Access,Critical,Resolved,2.1,Agent E,5.0
T5310,2023-11-15,Hardware,Medium,Resolved,22.7,Agent D,5.0
T5311,2023-09-13,Email,Low,Open,43.8,Agent C,
T5312,2023-10-20,Email,High,Resolved,5.0,Agent D,1.0
T5313,2024-02-17,Hardware,Low,Resolved,45.3,Agent A,2.0
T5314,2024-04-17,Email,Low,Resolved,37.7,Agent A,3.0
T5315,2024-04-03,Software,Critical,Resolved,1.7,Agent B,1.0
T5316,2024-01-26,Security,High,Resolved,4.8,Agent A,2.0
T5317,2024-04-07,Email,Critical,Open,1.7,Agent B,
T5318,2023-11-15,Access,Low,Open,46.2,Agent B,
T5319,2023-09-21,Network,High,Resolved,8.4,Agent A,5.0
T5320,2024-02-02,Software,High,Resolved,3.1,Agent A,3.0
T5321,2024-05-31,Network,Critical,Resolved,3.0,Agent C,3.0
T5322,2023-10-25,Email,Critical,Resolved,3.0,Agent D,2.0
T5323,2023-07-15,Security,Low,Resolved,58.5,Agent B,1.0
T5324,2024-02-16,Access,Critical,Open,2.3,Agent C,
T5325,2023-11-27,Network,Medium,Resolved,26.8,Agent B,1.0
T5326,2024-03-18,Email,High,Open,14.7,Agent D,
T5327,2024-05-02,Security,Medium,Resolved,12.0,Agent C,4.0
T5328,2024-02-18,Software,Critical,Open,2.8,Agent E,
T5329,2023-08-11,Security,Low,Resolved,51.7,Agent A,3.0
T5330,2024-03-17,Email,Low,Resolved,37.7,Agent E,2.0
T5331,2023-08-01,Network,Low,Resolved,31.9,Agent D,5.0
T5332,2024-05-02,Network,Medium,Resolved,39.6,Agent E,5.0
T5333,2024-04-05,Email,Critical,Resolved,1.5,Agent D,2.0
T5334,2024-04-12,Software,Medium,Resolved,11.7,Agent D,1.0
T5335,2024-04-22,Security,Low,Resolved,49.2,Agent A,2.0
T5336,2023-07-27,Email,Critical,Resolved,3.0,Agent E,2.0
T5337,2024-05-29,Security,Medium,Resolved,18.1,Agent C,2.0
T5338,2023-12-16,Software,Medium,Resolved,19.0,Agent B,3.0
T5339,2023-09-22,Email,Low,Resolved,36.5,Agent B,3.0
T5340,2023-08-23,Hardware,Low,Resolved,25.9,Agent C,1.0
T5341,2024-03-22,Security,Critical,Resolved,3.0,Agent B,1.0
T5342,2024-04-15,Hardware,Medium,Resolved,10.9,Agent D,4.0
T5343,2024-06-15,Network,Medium,Open,26.3,Agent C,
T5344,2024-06-23,Security,Medium,Resolved,22.8,Agent C,3.0
T5345,2023-08-31,Network,Medium,Resolved,31.4,Agent B,5.0
T5346,2024-05-28,Access,Low,Resolved,68.9,Agent B,1.0
T5347,2023-08-09,Security,High,Resolved,7.0,Agent E,1.0
T5348,2024-05-24,Security,Low,Resolved,49.0,Agent B,1.0
T5349,2023-08-25,Security,Medium,Resolved,19.7,Agent D,5.0
T5350,2024-01-25,Hardware,Low,Open,28.5,Agent A,
T5351,2023-08-22,Security,Medium,Escalated,18.9,Agent E,
T5352,2024-05-11,Email,Low,Resolved,32.7,Agent C,2.0
T5353,2023-11-14,Hardware,Critical,Open,2.0,Agent A,
T5354,2024-01-02,Software,Critical,Resolved,1.6,Agent C,2.0
T5355,2023-07-02,Email,Low,Resolved,39.5,Agent D,1.0
T5356,2024-01-23,Network,Medium,Resolved,16.4,Agent C,2.0
T5357,2023-07-05,Hardware,Low,Escalated,83.4,Agent C,
T5358,2023-10-01,Software,Medium,Resolved,19.7,Agent A,3.0
T5359,2024-01-07,Software,High,Resolved,10.0,Agent D,2.0
T5360,2024-02-19,Software,High,Resolved,12.9,Agent B,3.0
T5361,2023-11-09,Hardware,High,Resolved,9.4,Agent E,1.0
T5362,2024-02-18,Access,Low,Resolved,29.2,Agent A,2.0
T5363,2023-10-02,Software,Critical,Resolved,3.0,Agent A,1.0
T5364,2024-02-19,Hardware,Low,Resolved,40.0,Agent B,2.0
T5365,2023-11-16,Access,High,Resolved,10.0,Agent B,1.0
T5366,2024-06-01,Network,Medium,Resolved,27.7,Agent A,5.0
T5367,2023-11-19,Network,Low,Open,47.2,Agent D,
T5368,2023-11-15,Network,Medium,Resolved,37.1,Agent A,2.0
T5369,2023-11-10,Software,Low,Resolved,44.1,Agent C,5.0
T5370,2023-11-01,Email,Low,Resolved,53.2,Agent B,4.0
T5371,2024-01-26,Software,Low,Resolved,46.5,Agent C,1.0
T5372,2024-04-19,Software,High,Resolved,6.9,Agent B,1.0
T5373,2024-04-12,Software,Medium,Resolved,11.8,Agent E,5.0
T5374,2023-12-30,Email,Medium,Open,36.3,Agent A,
T5375,2023-11-07,Hardware,Low,Resolved,39.4,Agent E,3.0
T5376,2023-09-30,Software,Medium,Resolved,22.5,Agent B,2.0
T5377,2023-08-28,Software,High,Escalated,1.1,Agent D,
T5378,2023-10-06,Access,Low,Resolved,40.1,Agent A,3.0
T5379,2024-02-09,Hardware,Medium,Resolved,27.5,Agent E,2.0
T5380,2024-02-09,Email,Low,Open,74.9,Agent A,
T5381,2023-07-20,Email,High,Escalated,8.2,Agent A,
T5382,2023-11-23,Software,Medium,Resolved,5.3,Agent C,2.0
T5383,2023-08-06,Hardware,Critical,Resolved,2.1,Agent B,2.0
T5384,2024-05-29,Hardware,High,Escalated,7.4,Agent D,
T5385,2023-10-03,Access,Low,Resolved,67.2,Agent B,4.0
T5386,2024-02-20,Software,Medium,Resolved,15.0,Agent C,4.0
T5387,2023-07-23,Software,Medium,Resolved,25.6,Agent B,5.0
T5388,2024-02-17,Security,High,Resolved,6.2,Agent A,4.0
T5389,2023-08-12,Hardware,Critical,Resolved,3.1,Agent E,3.0
T5390,2024-04-13,Network,Low,Resolved,51.6,Agent A,4.0
T5391,2024-01-03,Software,Low,Open,79.8,Agent D,
T5392,2024-02-17,Hardware,High,Resolved,8.4,Agent D,3.0
T5393,2023-07-02,Security,Critical,Resolved,2.5,Agent C,3.0
T5394,2024-05-03,Hardware,Critical,Open,1.6,Agent E,
T5395,2024-06-19,Software,Critical,Resolved,2.8,Agent E,4.0
T5396,2023-12-12,Network,Low,Resolved,55.6,Agent C,2.0
T5397,2023-07-07,Software,Medium,Resolved,24.5,Agent D,1.0
T5398,2024-05-31,Email,Medium,Open,29.1,Agent E,
T5399,2024-06-28,Security,Low,Resolved,69.5,Agent D,1.0
T5400,2023-10-05,Security,High,Open,7.8,Agent D,
